# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

35. You may not have heard the last word on the matter ...... ?,
A. may you have,
B. haven't you,
C. have you,
D. mayn't have you,
36. All God's prophets were given the great ...... to preach salvation to people?,
A. commision,
B. commition,
C. comision,
D. commission,
"37. Ali goes to stadium regularly, but he ...... to the church for months?",
A. hasn't been,www.myschoolgist.com
B. haven't been,
C. didn't go,
D. hadn't been,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

38. Each of the houses ...... a new look?,
A. have got,
B. have,
C. has,
D. were given,
39. The minister addressed the workers to boost their ......?,
A. morale,
B. morality,
C. mural,
D. moral,
"40. He isn't coming home, is he? ....... he isn't",
A. yes,
B. no,
C. why,
D. now,
41. The city …... as a federal capital city only ….. the last 24 years,
A. has existed/for,
B. existed/over,
C. was existing,
D. is existing/in,
42. No teacher of honour would subject his student to any form of ......?,
A. harassement,
B. harassment,
C. harrassement,
D. harrassment,
43. Each producer is able to place on his product by considering its ........ ?,
A. worth,
B. choice,
C. judgement,
D. assessment,
44. The police claim that a number of stolen cars ....... recovered?,
A. has being,
B. is being,www.myschoolgist.com
C. has been,
D. have been,
45. The storm …. Havoc on several buildings in the village,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. wreaked,
B. wrecked,
C. made,
D. did,
46. The chair man refused to shake ........ with the secretary.,
A. hand,
B. his hand,
C. hands,
D. his hands,
47. The poor widow who could not buy the clothes was seen ....... her wool into ....... yesterday?,
A. to spin / yards,
B. spinning / yarn,
C. making / tailoring,
D. to spill / clothes,
"48. He not only looked after the children when their parents died, ...... sponsored their education to",
university?,
A. but also,
B. also he,
C. but he,
D. also,
49. His supporters railed round him in moments of ........ ?,
A. critism,
B. crisis,
C. acrimony,
D. disilusionment,
50. The interpreter was wrong because he gave the congregation a ....... translation of the pastor's statement?,
A. literal,
B. unilateral,
C. literary,
D. lateral,
Choose the option that has the same consonant sound as the one represented by the letter(s) underlined.,
www.myschoolgist.com,
51. Judge,
A. gear,
B. spinach,
C. pleasure,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. camouflage,
52. Caused,
A. chanced,
B. frost,
C. released,
D. realized,
53. Mischief,
A. Christmas,
B. ritual,
C. brochure,
D. champagne,
Select the option that best explains the information conveyed in the sentence.,
54. Everyone was ready to play the devil's advocate in the impeachment to encourage discussion on it?,
A. everyone was willing to speak against the impeachment to encourage discussion on it,
B. everyone was willing to defend an unpopular point of view concerning the impeachment,
C. everyone was willing to fight for the defenseless citizens no matter the consequences,
D. everyone was willing to be an evil genius in the controversy,
55. Adamu's father a key figure in that ministry?,
A. The ministry trusts Adamu's father as a central figure,
B. Adamu's father as a figurehead in the ministry,
C. Adamu's father's position is essential in the ministry,
D. Adamu's father keeps the key to the ministry,
56. The government warns that drink-driving is punishable under the law?,
A. a drunkard driving can be punished,
B. driving while drunk is an offence,
C. driving while drunking can be punished,
D. drinking and driving is an offence,
"57. In many countries, democracy is ostensibly being practiced?",
A. democracy is indeed being in many countries,
B. many countries have effective democracy,
C. many countries have democracy in practice,
D. democracy is apparently practiced in many countries,www.myschoolgist.com
58. The investigators stated clearly that they had reached a dead end in their scrutiny of suspects in the,
murder case?,
A. the investigator did not know what to do with the suspects' murder,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. the investigators had evidence to sentence the suspects to death in the end,
C. There was no further progress in the investigation of the murder suspects,
D. the end had come for the suspects in the murder case,
Choose the option that has a different stress pattern from the other.,
59. A. secondment B. orthopedic C. oriental D. photograpihc,
60. A. rafity,
B. famous,
C. result,
D. taxi,
Choose the option opposite in meaning to the underlined word(s).,
61. Sailors are unusually dauntless in their exploits,
A. selfless,
B. ruthless,
C. excited,
D. frightened,
62. The potency of the drug has been acknowledge?,
A. action,
B. loss,
C. inefficacy,
D. power,
63. The dictator wanted tractable men in his cabinet?,
A. reliable,
B. intelligent,
C. tough,
D. unruly,
"64. After the war, the visitors became increasingly vindictive",
A. friendly,
B. vociferous,
C. arrogant,
D. treacherous,
65. The ship was imperiled by high winds,www.myschoolgist.com
A. piloted,
B. destroyed,
C. deceived,
D. saved,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

66. Beauty queens sometimes wears outlandish dresses,
A. beautiful,
B. flashy,
C. familiar,
D. attractive,
67. The journalist said he was working freelance.,
A. tirelessly,
B. without a pay,
C. satisfactorily,
D. dependently,
68. My father's presentation was rather casual,
A. formal,
B. vital,
C. informal,
D. divisive,
69. The Flying Eagles put up a plucky defence against their opponents,
A. strong,
B. weak,
C. careless,
D. tactful,
70. The man who scared the girl was a bit deranged,
A. sane,
B. amorous,
C. crazy,
D. dangerous,
71. The injured man is determined to get back at his assailant,
A. attack,
B. identify,
C. visit,
D. forgive,
72. The player writhed in pain after the fail,
A. remained still,
B. cried out,www.myschoolgist.com
C. walked out,
D. shook violently,
73. The noise of the fans unnerved the star player?,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. refreshed,
B. confused,
C. helped,
D. calmed,
74. The team got an ecstatic welcome from the crowd,
A. an unexpected,
B. a joyous,
C. a cold,
D. a thunderous,
75. We found a shady place for the display,
A. an open,
B. an unsafe,
C. a stuffy,
D. an enclosed,
"Choose the appropriate stress pattern from the options. The syllables are written in capital letters,",
76. expostulate,
A. exposTUlate,
B. expostuLATE,
C. EXpostulate,
D. exPOStulate,
77. sufficiency,
A. sufFIciency,
B. SUFFiciency,
C. sufficienCY,
D. suffiCIENcy,
Choose the option nearest in meaning to the underlined word(s).,
78. The town was in such a turmoil that the dance as called off,
A. mouring state,
B. rainly state,www.myschoolgist.com
C. state of darkness,
D. state of confusion,
79. The festivals create in the people of feeling of pride in their cultural heritage,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. history,
B. heirloom,
C. legacy,
D. possession,
"80. Funnily enough, the priest prayed for the robber who shot him",
A. Timidly,
B. Unexpectedly,
C. Disappointingly,
D. Fearlessly,
81. The presence of the captain makes the sailors ill at ease,
A. uncomfortable,
B. sickly,
C. impatient,
D. easily ill,
82. The press described the efforts of the government in pejorative terms,
A. critical,
B. contemptible,
C. palpable,
D. superlative,
83. Okonkwo manages his household with a heavy hand,
A. like a powerful dictator,
B. using the cane on every occasion,
C. without tolerating weakness,
D. like a heavyweight champion,
84. The school's badge is the insignia? of office for all the perfects in the school,
A. power,
B. symbol,
C. seal,
D. recognition,
85. Ibro shows enough liberality with his meagre income,
A. generosity,
